Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,Zone_1_Power_Consumption,qcut_feat_1,class
14.07,59.23,0.082,0.139,0.13,45180.75949,51591.26795153846,1
14.22,58.03,0.081,0.055,0.13,45302.27848,51649.867710769235,1
14.31,57.26,0.083,0.081,0.085,45101.77215,54741.661561764704,1
14.43,56.99,0.084,0.051,0.115,45053.16456,52204.17064695652,1
14.67,56.49,0.085,0.062,0.108,44949.87342,52623.09842,1
14.78,55.09,0.084,0.07,0.134,44615.6962,50692.0409761194,1
14.84,55.33,0.083,0.095,0.126,43965.56962,50482.214064444444,1
14.89,55.13,0.083,0.055,0.152,43260.75949,48661.32330578947,1
14.73,56.29,0.079,0.084,0.104,43400.50633,51373.11883,1
14.78,56.16,0.081,0.106,0.096,43807.59494,52453.89494,1
14.84,56.03,0.082,0.091,0.126,43370.12658,49969.215468888884,1
14.93,55.93,0.082,0.066,0.126,42896.20253,49523.46364111111,1
14.74,56.83,0.082,0.051,0.193,42677.46835,47017.74917901555,1
14.81,57.53,0.082,0.073,0.126,42276.4557,49038.51363650794,1
14.89,57.56,0.08,0.044,0.145,42015.18987,47926.00642172414,1
14.93,57.46,0.08,0.091,0.085,41401.51899,51494.19899,1
14.93,57.7,0.082,0.059,0.137,40684.55696,46972.59345635037,1
15.11,57.16,0.082,0.077,0.122,39973.67089,47053.07744737705,1
14.83,59.23,0.079,0.07,0.082,39706.32911,50418.29130512195,1
14.7,59.9,0.081,0.037,0.185,38855.6962,43615.31782162162,1
14.59,60.77,0.08,0.055,0.119,38169.11392,45619.822323361346,1
14.31,64.54,0.083,0.051,0.108,37604.05063,46155.60063,1
14.27,65.51,0.08,0.044,0.137,36589.36709,43412.9269440146,1
14.31,65.58,0.081,0.073,0.078,35738.73418,47770.14187230769,1
14.07,66.28,0.081,0.07,0.126,34547.8481,41949.11476666667,1
14.54,65.31,0.079,0.081,0.067,33527.08861,47700.3333861194,1
14.52,64.41,0.08,0.07,0.108,32554.93671,41214.50337666667,1
14.56,64.21,0.081,0.051,0.145,31072.40506,37519.974715172415,1
14.44,65.04,0.082,0.055,0.096,30167.08861,39950.18861,1
14.79,64.44,0.082,0.062,0.141,29425.82278,36185.167460851066,1
14.74,63.91,0.079,0.04,0.126,28860.75949,36337.21504555555,1
14.71,63.97,0.08,0.044,0.156,27918.98734,33951.03028871795,1
14.58,65.38,0.087,0.062,0.104,27116.96203,36282.73510692308,0
14.67,65.51,0.082,0.059,0.089,26557.97468,37356.08366876405,0
14.8,64.64,0.082,0.059,0.104,26077.97468,35276.74391076923,0
14.79,65.18,0.082,0.077,0.093,25494.68354,35860.40612064516,0
14.78,66.51,0.081,0.059,0.126,24972.1519,32773.88047142857,0
14.65,69.85,0.295,0.04,0.082,24370.63291,36849.93169048781,0
14.31,70.8,0.079,0.059,0.141,23896.70886,31082.155668510637,0
14.22,74.3,0.081,0.088,0.13,23653.67089,31780.947813076924,0
13.85,74.4,0.078,0.066,0.171,23228.35443,29254.3193422807,0
13.76,76.5,0.081,0.091,0.145,22894.17722,30153.763426896552,0
13.23,79.7,0.075,0.081,0.145,22778.73418,30050.672111034484,0
13.25,80.1,0.08,0.062,0.163,22547.8481,29059.044419018403,0
13.33,81.1,0.077,0.073,0.185,22359.49367,28203.077453783782,0
13.36,82.4,0.079,0.055,0.193,22231.89873,27935.8572792228,0
13.33,82.9,0.08,0.081,0.141,21958.48101,29795.76469794326,0
13.34,83.6,0.079,0.055,0.174,21788.35443,28197.68776333333,0
13.26,84.1,0.08,0.088,0.148,21666.83544,29201.740845405402,0
13.16,84.7,0.081,0.073,0.185,21709.36709,27734.513035945947,0
13.16,84.7,0.082,0.066,0.171,21466.32911,27984.76185853801,0
13.17,84.4,0.081,0.088,0.148,21332.65823,28843.11768945946,0
13.08,84.5,0.08,0.059,0.141,21302.27848,29141.00188425532,0
13.03,84.4,0.079,0.059,0.185,21393.41772,27337.9150172973,0
12.95,84.6,0.081,0.073,0.13,21393.41772,29820.879258461537,0
12.96,84.6,0.077,0.066,0.115,21034.93671,30568.988883913044,0
13.02,84.0,0.082,0.088,0.141,20962.02532,28718.621064680854,0
13.06,81.4,0.078,0.07,0.156,21089.62025,27904.261275641027,0
12.88,81.2,0.076,0.081,0.111,21028.86076,30450.986886126128,0
12.79,81.5,0.079,0.059,0.137,21059.24051,28667.890145036494,0
12.57,82.6,0.082,0.077,0.134,21041.01266,28789.38579432836,0
12.39,84.0,0.082,0.055,0.189,21174.68354,26681.35020666667,0
12.08,85.0,0.077,0.066,0.159,21284.05063,27741.912265220126,0
11.37,86.1,0.081,0.081,0.108,21405.56962,30469.986286666666,0
11.07,86.1,0.077,0.073,0.148,21770.12658,28210.173877297297,0
11.02,85.3,0.08,0.084,0.156,22031.39241,28057.07189717949,0
10.91,85.8,0.077,0.099,0.13,22572.1519,29772.7519,0
10.84,85.7,0.075,0.088,0.111,23307.34177,31676.60303126126,0
10.83,84.9,0.079,0.059,0.152,23623.29114,29672.41614,0
10.74,84.0,0.078,0.095,0.145,24012.1519,30233.945003448276,0
10.59,84.0,0.078,0.066,0.174,24425.31646,29537.730253103447,0
10.51,83.7,0.083,0.059,0.159,24413.16456,29945.787201509436,0
10.77,81.6,0.079,0.07,0.148,24625.82278,30563.876834054052,0
11.01,80.7,0.079,0.059,0.174,24303.79747,29410.15953896552,0
11.0,79.2,0.08,0.062,0.148,23799.49367,29685.980156486487,0
10.96,77.7,0.08,0.073,0.141,23963.5443,30003.203874468087,0
10.85,78.2,0.08,0.102,0.182,24024.3038,28686.22687692308,0
10.75,78.7,0.082,0.059,0.156,23708.35443,29131.59160948718,0
10.69,79.0,0.081,0.077,0.134,23386.32911,29688.64254283582,0
10.48,80.0,0.08,0.084,0.193,23690.12658,28034.168030777204,0
10.36,79.9,0.08,0.3,0.389,24625.82278,26753.75080056555,0
10.41,77.0,0.082,0.985,1.042,25069.36709,25838.62812646833,0
10.24,74.6,0.082,1.874,1.995,25610.12658,25993.03585318296,0
10.1,74.3,0.081,4.267,4.406,26503.29114,26673.61115815706,0
10.01,73.7,0.085,7.95,8.15,27123.03797,27213.557847300614,0
10.06,73.4,0.086,8.88,9.11,27384.3038,27465.358026125137,0
10.03,74.8,0.081,16.33,16.84,27840.0,27884.5513064133,0
10.03,74.7,0.081,28.51,29.64,28447.59494,28472.872976437247,0
10.07,74.6,0.081,25.44,26.29,29006.58228,29035.15671895017,0
10.1,73.8,0.083,52.75,54.57,28556.96203,28570.621183380976,0
10.13,72.7,0.08,64.93,66.33,30063.79747,30074.900304313283,0
10.16,72.6,0.08,106.8,106.1,30908.35443,30915.30651294062,0
10.27,72.0,0.086,196.7,188.1,31078.48101,31082.412110478468,0
10.32,71.4,0.083,228.1,224.0,31534.17722,31537.46672,0
10.32,71.2,0.081,222.0,219.8,32403.03797,32406.380936333033,0
10.33,70.8,0.085,228.3,224.8,33089.62025,33092.87364857651,0
10.52,69.98,0.083,322.2,323.8,33217.21519,33219.488783576286,0
10.44,70.0,0.087,156.8,159.2,33387.34177,33391.932222261305,0
10.51,70.3,0.084,399.3,399.3,33976.70886,33978.559230648636,0
10.69,68.98,0.084,255.4,256.0,33958.48101,33961.36146390625,0
10.46,68.25,0.088,119.8,122.8,34335.18987,34341.0033471987,0
10.41,67.98,0.085,108.2,111.6,34578.22785,34584.568995161295,0
10.37,67.41,0.082,128.7,133.1,34578.22785,34583.47985375658,0
10.37,66.81,0.082,141.6,146.2,34426.32911,34431.06795883721,1
10.41,66.48,0.085,214.5,217.1,34207.59494,34210.78267284201,1
10.48,66.31,0.085,246.0,245.7,34809.11392,34811.942283044365,1
10.46,66.14,0.084,141.2,145.1,35289.11392,35293.8818345417,1
10.47,66.91,0.085,167.6,174.0,35507.8481,35511.8742362069,1
10.54,66.68,0.082,129.4,130.6,35447.08861,35452.469982128634,1
10.6,66.31,0.085,145.7,145.0,35532.1519,35536.99938965517,1
10.68,66.14,0.087,250.1,252.3,35659.74684,35662.546583162904,1
11.23,66.01,0.089,585.2,599.7,35714.43038,35715.66648521928,1
11.62,65.41,0.084,572.2,589.3,35586.83544,35588.12521464789,1
11.85,65.31,0.081,602.4,629.7,35167.59494,35168.82397525488,1
11.95,64.61,0.084,291.9,293.3,34693.67089,34696.30331243437,1
11.69,63.91,0.081,113.0,114.9,34432.40506,34438.90730456048,1
11.42,65.04,0.083,146.8,152.5,34584.3038,34589.174336393444,1
11.41,64.37,0.085,141.0,146.2,34535.6962,34540.71987783858,1
11.49,63.87,0.083,128.4,132.1,34857.72152,34863.276904557155,1
11.6,62.74,0.088,165.4,169.7,34936.70886,34940.99751055981,1
11.55,61.54,0.085,140.7,144.9,35295.18987,35300.09523231884,1
11.56,60.8,0.083,97.0,100.3,35714.43038,35721.43783762712,1
11.56,61.44,0.082,87.1,90.9,36030.37975,36038.19324174918,1
11.55,61.1,0.08,72.3,75.4,36164.05063,36173.41011275862,1
11.56,61.07,0.082,66.6,69.0,35793.41772,35803.64915768116,1
11.58,60.9,0.083,122.5,127.0,35489.62025,35495.17317913386,1
11.73,60.27,0.081,157.8,164.3,35902.78481,35907.087713834444,1
11.8,60.07,0.082,101.0,104.3,36078.98734,36085.78337068073,1
11.85,59.87,0.083,104.7,108.5,35763.03797,35769.57676723502,0
11.89,59.53,0.084,95.7,99.0,35520.0,35527.14961313131,0
11.93,58.96,0.082,84.5,87.1,35629.36709,35637.44278230769,0
12.01,57.93,0.083,104.1,107.6,35580.75949,35587.22546862453,1
12.01,57.23,0.088,57.11,57.6,35817.72152,35829.65437243055,1
11.99,57.3,0.082,31.44,31.95,36522.53165,36544.03484248826,1
11.95,57.83,0.082,21.88,22.3,36929.62025,36960.60986883408,1
12.05,56.89,0.082,37.69,38.7,38156.96203,38174.67584136951,1
12.07,55.89,0.084,38.59,39.96,39815.6962,39832.57788918919,1
12.03,54.99,0.088,15.52,16.14,42252.1519,42293.13887026022,1
12.02,55.46,0.084,11.89,12.46,44008.10127,44061.60281093098,1
12.06,55.16,0.081,21.4,25.72,45265.82278,45291.68707237947,1
12.18,53.59,0.083,10.26,10.64,45934.17722,45995.52366736842,1
12.03,55.43,0.081,5.15,5.367,45915.94937,46040.19436720514,1
11.99,55.76,0.083,2.072,2.188,45946.32911,46251.88779372943,1
12.01,55.39,0.086,0.941,1.061,46092.1519,46719.139553157394,1
12.01,54.49,0.088,0.234,0.289,45490.63291,47755.07893076124,1
11.93,54.72,0.09,0.084,0.122,45466.32911,50817.22747065574,1
11.79,55.23,0.087,0.04,0.07,45478.48101,54780.79101,1
11.91,53.62,0.085,0.04,0.122,45824.81013,51059.352752950814,1
11.85,53.02,0.088,0.062,0.089,45612.1519,52671.55639438202,1
11.64,53.12,0.08,0.073,0.108,45381.26582,51106.421375555554,1
11.63,52.42,0.087,0.066,0.137,44919.49367,49369.45425394161,1
11.63,51.85,0.086,0.059,0.108,44712.91139,50296.388241851855,1
11.7,52.32,0.087,0.059,0.111,45065.31646,50580.127270810815,1
11.43,54.99,0.088,0.051,0.13,45745.82278,50580.71278,1
11.19,56.63,0.089,0.055,0.126,45265.82278,50295.106113333335,1
11.08,56.96,0.085,0.066,0.067,45144.3038,54563.95753134329,1
11.01,57.6,0.086,0.062,0.07,44913.41772,53973.07486285714,1
10.96,57.73,0.083,0.044,0.07,44135.6962,53174.56477142857,1
11.04,57.66,0.088,0.081,0.085,43813.67089,51302.687360588236,1
11.09,57.06,0.084,0.044,0.093,43364.05063,50168.30224290322,1
11.52,54.82,0.083,0.051,0.122,42641.01266,47817.458561639345,1
11.64,51.89,0.081,0.062,0.115,42173.16456,47425.33499478261,1
11.46,53.89,0.086,0.059,0.122,41085.56962,46147.6958495082,1
11.26,53.99,0.089,0.081,0.056,40435.44304,51291.28946857143,1
11.29,53.39,0.089,0.062,0.111,39791.39241,45221.78069828829,1
10.97,54.72,0.086,0.088,0.134,39214.17722,43693.866772238805,1
11.43,52.42,0.082,0.048,0.115,38582.27848,43792.37065391304,1
11.45,52.22,0.085,0.073,0.089,37573.67089,44291.861901235956,1
10.93,53.59,0.086,0.066,0.111,36723.03797,41999.963195225224,1
10.9,54.12,0.09,0.04,0.108,35568.60759,41030.71870111111,1
10.66,54.82,0.086,0.059,0.108,34341.26582,39752.20285703704,1
10.58,54.86,0.092,0.055,0.082,33502.78481,40581.06285878048,1
10.62,54.76,0.088,0.084,0.074,32390.88608,40249.68608,1
10.87,52.79,0.085,0.073,0.096,31212.1519,37189.519608333336,1
10.48,55.03,0.091,0.091,0.074,30489.11392,38282.551757837835,1
10.35,55.06,0.087,0.051,0.1,29608.10127,35306.81127,1
10.18,55.43,0.087,0.048,0.137,28988.35443,33107.16756868613,1
10.08,55.56,0.087,0.055,0.093,28192.40506,34214.39215677419,1
9.96,56.86,0.088,0.048,0.159,27287.08861,30848.884836415094,1
9.61,58.43,0.091,0.044,0.1,26764.55696,32379.67996,0
9.46,59.17,0.089,0.051,0.115,26248.10127,31115.47692217391,0
9.26,60.4,0.086,0.051,0.115,25816.70886,30680.22190347826,0
9.24,60.7,0.091,0.051,0.134,25148.35443,29333.93651955224,0
9.89,57.53,0.084,0.081,0.096,24322.02532,30248.81386166667,0
9.97,56.19,0.083,0.066,0.093,24109.36709,30133.176767419354,0
9.65,58.43,0.083,0.066,0.078,23750.88608,30979.725823589746,0
9.31,61.24,0.084,0.059,0.119,23544.3038,28335.433211764706,0
8.93,62.24,0.085,0.073,0.093,23392.40506,29368.783554623657,0
9.26,61.64,0.084,0.048,0.093,23258.73418,29396.22235204301,0
8.93,63.94,0.085,0.048,0.115,22827.34177,27792.42177,0
8.86,63.64,0.084,0.059,0.108,22784.81013,28005.647167037037,0
8.95,63.41,0.082,0.059,0.096,22730.12658,28641.788038333332,0
8.64,64.04,0.081,0.048,0.1,22474.93671,28007.992710000002,0
8.88,62.44,0.084,0.055,0.089,22262.27848,28492.247019325845,0
8.92,62.5,0.086,0.066,0.1,21964.55696,27539.55696,0
9.21,60.47,0.086,0.048,0.119,22073.92405,26753.9971592437,0
9.06,60.67,0.088,0.066,0.137,21885.56962,25897.76086087591,0
9.13,59.07,0.087,0.062,0.074,21654.68354,28942.644350810813,0
9.11,59.33,0.088,0.051,0.074,21527.08861,28831.092664054053,0
9.25,59.03,0.089,0.048,0.078,21569.62025,28569.972814102563,0
9.17,59.77,0.082,0.051,0.104,21691.13924,26961.244047692308,0
9.16,60.0,0.083,0.051,0.137,21733.67089,25745.34972211679,0
9.17,60.77,0.083,0.029,0.122,21733.67089,26301.38318508197,0
8.97,61.4,0.085,0.081,0.119,21685.06329,26313.281777394957,0
8.85,62.07,0.082,0.04,0.033,21776.20253,38422.24798454545,0
8.87,62.67,0.091,0.051,0.093,21909.87342,27887.10890387097,0
9.01,62.8,0.085,0.04,0.096,21855.18987,27749.231536666666,0
9.32,61.6,0.087,0.059,0.085,22001.01266,28755.271483529414,0
9.1,62.04,0.084,0.059,0.082,22329.11392,29214.040749268293,0
9.01,62.67,0.085,0.07,0.082,22651.13924,29537.19655707317,0
9.04,63.67,0.086,0.088,0.07,23161.51899,31384.044704285712,0
10.09,62.24,2.981,0.095,0.082,24157.97468,31816.530777560976,0
10.73,56.13,4.917,0.066,0.115,24394.93671,29632.10975347826,0
11.12,54.59,4.918,0.073,0.093,24218.73418,30746.054610107527,0
11.18,53.72,4.917,0.055,0.078,24534.68354,32234.550206666667,0
11.42,53.26,4.916,0.077,0.134,24802.02532,29341.049200597015,0
11.4,53.36,4.914,0.062,0.152,24467.8481,28469.8481,0
11.52,52.92,4.923,0.044,0.093,23945.31646,30500.568072903225,0
11.58,52.75,4.918,0.059,0.093,24024.3038,30592.529606451615,0
11.64,52.45,4.915,0.066,0.122,24042.53165,29046.777551639345,0
11.69,51.99,4.916,0.044,0.141,23732.65823,28043.034825744682,0
11.72,51.92,4.915,0.059,0.111,23380.25316,28862.256763603604,0
11.75,52.45,2.66,0.066,0.108,23349.87342,29056.23916074074,0
11.79,52.19,0.077,0.113,0.178,23787.34177,27244.196264382022,0
11.8,51.62,0.08,0.725,0.842,24686.58228,25409.997956959618,0
11.81,51.05,0.08,4.023,3.81,25020.75949,25179.001091049868,0
11.83,50.65,0.082,5.374,5.449,25506.83544,25616.798644257662,0
11.66,52.09,0.081,10.07,10.2,25920.0,25979.546019607842,0
11.76,51.92,0.081,21.8,21.41,26618.73418,26647.25259195703,0
11.82,52.32,0.078,39.17,38.37,27110.88608,27127.003421673184,0
11.89,51.55,0.08,45.58,45.18,28241.01266,28254.579049995573,0
12.0,51.05,0.907,67.18,66.33,28441.51899,28450.754629981908,0
12.07,51.25,4.913,117.0,116.3,29140.25316,29145.57205509888,0
12.15,51.49,4.916,92.2,89.9,29778.22785,29785.186732091213,0
12.14,52.05,4.918,132.5,132.4,30112.40506,30117.17762042296,0
12.72,49.32,4.917,283.1,289.0,30555.94937,30558.120132629756,0
12.99,46.21,4.914,320.5,329.7,31424.81013,31426.63077877161,0
13.07,47.75,4.921,370.3,382.3,32178.22785,32179.8603179571,0
13.23,48.45,4.915,380.8,394.5,32463.79747,32465.422295095057,0
13.14,48.55,4.915,334.2,343.5,33034.93671,33036.79390650655,0
13.14,49.18,4.916,371.5,385.8,33320.50633,33322.18135643857,0
13.29,48.01,4.913,395.3,414.3,33648.60759,33650.14766458364,0
13.25,48.51,4.353,414.2,437.1,34001.01266,34002.48316446122,0
13.34,48.45,0.086,441.2,466.9,34693.67089,34695.05517571429,0
13.44,50.08,0.082,429.6,448.9,35137.21519,35138.71457783694,0
13.46,49.98,0.085,492.1,513.8,35131.13924,35132.44856425068,0
13.62,48.88,0.083,547.3,579.2,35228.35443,35229.503852651935,0
13.77,49.48,0.085,572.1,605.8,35137.21519,35138.339883958404,0
14.02,50.45,0.085,606.7,645.4,35544.3038,35545.39972345832,0
14.24,49.52,0.087,637.0,681.8,35392.40506,35393.439329287175,0
14.66,46.04,0.085,645.0,692.5,34851.64557,34852.620221841156,0
14.72,43.27,0.082,738.0,790.0,34414.17722,34414.983466075944,0
14.35,44.87,0.084,487.6,502.2,34304.81013,34306.09225763839,0
13.92,45.31,0.082,157.8,158.9,34110.37975,34114.34900865324,0
13.85,45.78,0.084,109.7,110.6,34359.49367,34365.22651810127,0
13.72,46.64,0.086,97.9,101.0,35246.58228,35252.91793148515,0
13.77,45.04,0.082,165.4,171.1,35908.86076,35912.48554550556,0
13.6,48.35,0.084,98.9,101.2,36139.74684,36146.2444684585,0
13.0,52.22,0.081,60.95,62.53,36309.87342,36320.729968856554,0
13.02,54.06,0.08,50.37,51.66,35690.12658,35703.75145804878,0
12.7,56.93,0.079,30.44,31.57,35507.8481,35530.7499371872,0
12.28,60.0,0.082,40.37,41.77,35732.65823,35750.2976841537,0
11.92,62.24,0.077,33.77,34.7,35040.0,35061.380426512966,0
11.81,63.97,0.078,69.73,71.5,35155.44304,35166.00927356643,0
11.74,64.64,0.079,39.59,40.63,35410.63291,35429.31057674871,0
11.82,64.01,0.079,74.3,76.8,35161.51899,35171.3705290625,0
11.87,64.71,0.079,37.39,38.39,34748.35443,34768.3624451081,0
11.66,65.74,0.082,15.48,16.08,34833.41772,34881.08739661692,0
11.46,66.54,0.083,15.51,16.06,33454.17722,33501.65844042341,0
11.38,66.54,0.08,13.07,13.45,32603.5443,32659.843571375466,0
11.37,65.51,0.081,9.89,10.26,31959.49367,32032.091009181288,0
11.27,65.84,0.078,16.77,17.2,31491.64557,31534.786081627906,0
11.48,64.11,0.077,31.36,31.55,31576.70886,31600.03636554675,0
11.34,66.51,0.078,34.88,35.96,31479.49367,31500.467624393772,0
11.56,63.74,0.078,24.87,25.59,31436.96203,31465.755871344274,0
11.78,65.98,0.079,17.86,18.64,31522.02532,31563.722980944207,0
11.71,66.48,0.08,16.78,17.49,31455.18987,31499.699921457974,0
11.75,68.61,0.078,25.01,26.27,31175.6962,31206.383961705367,0
12.21,68.95,0.079,26.68,27.53,31795.44304,31826.02347952052,0
12.52,69.82,0.079,16.52,16.77,33041.01266,33093.138265247464,1
12.33,71.6,0.086,11.28,11.52,34535.6962,34612.330575,1
12.54,70.8,0.083,14.39,14.64,36832.40506,36893.04932229508,1
12.46,71.6,0.087,7.68,7.95,39645.56962,39757.787984779876,1
12.32,71.6,0.086,12.08,12.87,41419.74684,41488.28701094017,1
12.05,72.2,0.082,10.38,10.66,41930.12658,42011.741026529075,1
11.88,72.3,0.081,4.934,5.085,42416.20253,42585.11580433629,1
11.91,71.6,0.083,2.302,2.426,42926.58228,43278.08928741962,1
11.75,71.7,0.087,0.933,1.064,42981.26582,43773.06563203008,1
11.72,70.4,0.081,0.278,0.286,43722.53165,46607.454726923075,1
11.58,70.1,0.08,0.095,0.115,44111.39241,51170.1576273913,1
11.39,70.7,0.079,0.048,0.104,44153.92405,51896.93366538462,1
11.26,70.5,0.08,0.055,0.085,43886.58228,53225.75875058824,1
11.07,70.4,0.077,0.037,0.13,43825.82278,49820.653549230774,1
10.95,70.5,0.077,0.077,0.093,43673.92405,51974.7305016129,1
10.77,71.2,0.083,0.048,0.141,43661.77215,49100.24023510638,1
10.53,72.0,0.087,0.051,0.141,43248.60759,48625.62886659575,1
10.43,72.0,0.082,0.059,0.1,43424.81013,50934.41013,1
10.37,72.5,0.084,0.07,0.104,43698.22785,50927.31438846154,1
10.3,72.3,0.088,0.048,0.096,43637.46835,51394.65585,1
10.26,72.2,0.083,0.07,0.134,43655.6962,49183.845453731345,1
10.22,72.4,0.081,0.051,0.108,43552.40506,50403.59024518519,1
10.25,72.3,0.082,0.077,0.096,43649.62025,51369.1515,1
10.31,71.7,0.088,0.037,0.078,43254.68354,52731.95277076923,1
10.3,71.9,0.082,0.044,0.13,43193.92405,48890.61635769231,1
10.29,71.8,0.082,0.055,0.096,42835.44304,50531.50554,1
10.29,71.1,0.079,0.059,0.1,42185.31646,49501.506460000004,1
10.23,71.2,0.083,0.044,0.145,42264.3038,47287.58655862069,1
10.18,70.9,0.081,0.037,0.122,41778.22785,47694.30981721312,1
10.24,70.4,0.087,0.04,0.089,40842.53165,48942.48670617977,1
10.2,69.95,0.086,0.037,0.152,40459.74684,45153.75999789474,1
10.16,70.1,0.087,0.066,0.085,39177.72152,47556.73328470588,1
10.13,69.55,0.09,0.044,0.126,38539.74684,44131.34604634921,1
10.08,69.92,0.089,0.062,0.13,38035.44304,43456.932270769226,1
9.94,71.4,0.088,0.051,0.119,36874.93671,42838.93671,1
10.14,71.0,0.085,0.07,0.074,35969.62025,45698.53916891892,1
10.28,68.51,0.089,0.081,0.119,34961.01266,40879.35551714286,1
10.2,69.25,0.083,0.055,0.115,33855.18987,39997.36378304348,1
10.09,70.8,0.088,0.051,0.13,32998.48101,38493.65024076923,1
9.78,72.3,0.087,0.055,0.111,32020.25316,38390.46937621621,1
9.68,73.5,0.09,0.055,0.115,31035.94937,37222.73197869565,1
9.72,73.4,0.086,0.051,0.152,29869.36709,34563.10393210527,1
9.68,73.6,0.094,0.073,0.104,29061.26582,35911.72735846154,1
9.8,73.7,0.087,0.077,0.1,28070.88608,35293.48608,1
9.86,73.0,0.097,0.055,0.134,27293.16456,32664.657097313433,1
9.98,72.7,0.086,0.051,0.108,26600.50633,33318.52484851852,0
10.05,72.4,0.087,0.059,0.085,26296.70886,34856.94415411765,0
10.0,72.3,0.087,0.062,0.122,25634.43038,31560.659888196722,0
10.0,72.6,0.084,0.048,0.119,25130.12658,31230.966916134454,0
9.84,73.2,0.086,0.066,0.13,24923.5443,30464.221223076926,0
10.04,73.1,0.081,0.044,0.096,24619.74684,32264.788506666664,0
10.14,71.4,0.087,0.062,0.122,23933.16456,29867.55800262295,0
10.02,71.5,0.088,0.051,0.163,23884.55696,28279.833033619634,0
9.93,72.0,0.084,0.051,0.104,23598.98734,30473.602724615386,0
9.8,72.4,0.084,0.066,0.089,23301.26582,31273.400651460677,0
9.62,73.1,0.082,0.04,0.152,23210.12658,27836.58710631579,0
9.5,73.5,0.087,0.055,0.1,23252.65823,30235.15823,0
9.25,75.2,0.086,0.055,0.141,22979.24051,27912.57384333333,0
9.06,75.6,0.085,0.062,0.108,22645.06329,28987.06329,0
8.96,76.5,0.082,0.048,0.111,22310.88608,28486.021215135137,0
9.2,74.2,0.079,0.066,0.085,22250.12658,30281.18540352941,0
9.27,71.9,0.082,0.084,0.115,22256.20253,28051.967747391303,0
9.31,69.22,0.079,0.048,0.13,22128.60759,27085.82451307692,0
9.38,67.68,0.078,0.062,0.126,22055.6962,27094.0962,0
9.52,64.41,0.079,0.033,0.156,22067.8481,25998.50963846154,0
9.51,64.04,0.079,0.04,0.096,22001.01266,28344.97516,0
9.53,62.77,0.082,0.081,0.108,22025.31646,27564.187756296295,0
9.51,62.4,0.081,0.066,0.115,22025.31646,27185.525155652173,0
9.39,63.51,0.081,0.062,0.122,21976.70886,26864.89656491803,0
9.3,64.37,0.081,0.059,0.115,21994.93671,27200.51062304348,0
9.15,65.24,0.078,0.088,0.089,22171.13924,28878.397666966295,0
9.13,65.41,0.077,0.051,0.122,22134.68354,27029.71058918033,0
9.05,65.78,0.078,0.04,0.122,22268.35443,27147.936397213114,0
9.09,65.78,0.079,0.088,0.152,22335.18987,26269.006975263157,0
9.1,65.94,0.081,0.081,0.093,22766.58228,29218.775828387093,0
8.97,67.21,0.079,0.055,0.115,23513.92405,28756.30405,0
9.08,67.28,0.079,0.059,0.111,24109.36709,29612.992315225223,0
9.05,67.61,0.078,0.044,0.108,24650.12658,30315.59417259259,0
9.14,66.38,0.083,0.084,0.13,24461.77215,29128.796765384617,0
8.95,68.11,0.083,0.048,0.089,24747.34177,31596.605814943818,0
8.61,70.6,0.079,0.062,0.119,24480.0,29588.11764705882,0
9.23,66.61,0.082,0.07,0.134,23793.41772,28381.55428716418,0
9.4,64.27,0.08,0.084,0.082,22863.79747,30231.334055365856,0
9.49,63.91,0.078,0.059,0.122,22481.01266,27452.372496065575,0
9.52,63.77,0.079,0.048,0.085,22523.5443,29665.7843,0
9.49,63.97,0.076,0.062,0.078,22717.97468,30500.991346666666,0
9.51,63.91,0.077,0.055,0.13,22584.3038,27259.56610769231,0
9.41,64.14,0.084,0.059,0.104,22827.34177,28630.778308461537,0
9.39,64.44,0.084,0.121,0.16,23021.77215,26803.59465,0
9.38,64.54,0.083,0.827,0.894,23538.22785,24215.392503243846,0
9.41,64.17,0.079,3.108,3.087,24261.26582,24456.873108629738,0
9.41,64.07,0.077,7.86,7.85,24899.24051,24976.042892165606,0
9.45,63.67,0.082,13.96,13.97,25184.81013,25227.87967187545,0
9.52,63.41,0.081,56.45,56.18,25828.86076,25839.605921979353,0
9.63,63.67,0.079,103.7,102.5,27031.89873,27037.880604146343,0
9.77,62.57,0.464,134.0,133.1,27584.81013,27589.40298424493,0
9.86,62.14,4.917,147.9,148.4,28253.16456,28257.29326889488,0
9.89,62.34,4.919,109.9,108.8,29030.88608,29036.552831838235,0
9.96,62.2,4.92,191.1,192.4,29243.5443,29246.764216839918,0
10.05,62.24,4.918,217.8,220.9,29857.21519,29860.046842331372,0
10.11,62.27,4.915,244.3,250.2,30361.51899,30364.03517585132,0
10.22,62.44,4.915,275.2,284.4,31594.93671,31597.180510281294,0
10.32,62.44,4.916,313.0,325.9,31746.83544,31748.81267473458,0
10.58,62.27,1.437,372.4,388.6,32536.70886,32538.40421923829,0
10.99,61.47,0.082,405.2,424.2,33478.48101,33480.07354960396,0
11.02,60.9,0.082,432.9,456.1,33739.74684,33741.21826731857,0
11.16,60.77,0.085,462.8,488.6,34438.48101,34439.86904356529,0
11.05,62.2,0.085,496.4,524.5,34590.37975,34591.69015991421,0
11.22,62.6,0.087,528.1,561.1,34578.22785,34579.47962686687,0
11.32,62.6,0.084,514.3,547.2,34857.72152,34859.016534619885,0
